"future","playerID","firstName","lastName","name","team","logo","playerURL","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"MVP","3612","Nikola","Jokic","Nikola Jokic","DEN","https://content.rotowire.com/images/teamlogo/basketball/100DEN.png?v=9","/betting/nba/player/nikola-jokic-odds-3612","110","0.0",1.1,"42.9","22.00",NA,NA,NA,"100","0.0",1,"44.1","20.00",NA,NA,NA,"110","0.0",1.1,"42.8","22.00",NA,NA,NA,"105","0.0",1.05,"44.6","21.00",NA,NA,NA,"105","0.0",1.05,"42.9","21.00",NA,NA,NA,"-130","0.0",0.769230769230769,"41.8","15.38",NA,NA,NA,"100","0.0",1,"44.2","20.00",NA,NA,NA,"draftkings","110","0.0",1.1,NA,"22.00",2025-12-28
"MVP","4387","Shai","Gilgeous-Alexander","Shai Gilgeous-Alexander","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=9","/betting/nba/player/shai-gilgeous-alexander-odds-4387","125","0.0",1.25,"40.1","25.00",NA,NA,NA,"135","0.0",1.35,"37.5","27.00",NA,NA,NA,"125","0.0",1.25,"39.9","25.00",NA,NA,NA,"135","0.0",1.35,"38.9","27.00",NA,NA,NA,"115","0.0",1.15,"40.9","23.00",NA,NA,NA,"-115","0.0",0.869565217391304,"39.5","17.39",NA,NA,NA,"125","0.0",1.25,"39.2","25.00",NA,NA,NA,"caesars","135","0.0",1.35,NA,"27.00",2025-12-28
"MVP","4396","Luka","Doncic","Luka Doncic","LAL","https://content.rotowire.com/images/teamlogo/basketball/100LAL.png?v=9","/betting/nba/player/luka-doncic-odds-4396","700","0.0",7,"11.3","140.00",NA,NA,NA,"625","0.0",6.25,"12.2","125.00",NA,NA,NA,"600","0.0",6,"12.8","120.00",NA,NA,NA,"700","0.0",7,"11.4","140.00",NA,NA,NA,"650","0.0",6.5,"11.7","130.00",NA,NA,NA,"450","0.0",4.5,"13.4","90.00",NA,NA,NA,"625","0.0",6.25,"12.2","125.00",NA,NA,NA,"betrivers","700","0.0",7,NA,"140.00",2025-12-28
"MVP","5336","Cade","Cunningham","Cade Cunningham","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=9","/betting/nba/player/cade-cunningham-odds-5336","8000","0.0",80,"1.1","1,600.00",NA,NA,NA,"7000","0.0",70,"1.2","1,400.00",NA,NA,NA,"7000","0.0",70,"1.3","1,400.00",NA,NA,NA,"6000","0.0",60,"1.5","1,200.00",NA,NA,NA,"8000","0.0",80,"1.1","1,600.00",NA,NA,NA,"5000","0.0",50,"1.4","1,000.00",NA,NA,NA,"8000","0.0",80,"1.1","1,600.00",NA,NA,NA,"fanduel","8000","0.0",80,NA,"1,600.00",2025-12-28
"MVP","5809","Victor","Wembanyama","Victor Wembanyama","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=9","/betting/nba/player/victor-wembanyama-odds-5809","15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"7500","0.0",75,"1.0","1,500.00",NA,NA,NA,"12500","0.0",125,"0.7","2,500.00",NA,NA,NA,"betrivers","15000","0.0",150,NA,"3,000.00",2025-12-28
"MVP","4405","Jalen","Brunson","Jalen Brunson","NYK","https://content.rotowire.com/images/teamlogo/basketball/100NYK.png?v=9","/betting/nba/player/jalen-brunson-odds-4405","15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"20000","0.0",200,"0.5","4,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"7500","0.0",75,"1.0","1,500.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"espnbet","20000","0.0",200,NA,"4,000.00",2025-12-28
"MVP","5158","Tyrese","Maxey","Tyrese Maxey","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=9","/betting/nba/player/tyrese-maxey-odds-5158","25000","0.0",250,"0.4","5,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2025-12-28
"MVP","3894","Jaylen","Brown","Jaylen Brown","BOS","https://content.rotowire.com/images/teamlogo/basketball/100BOS.png?v=9","/betting/nba/player/jaylen-brown-odds-3894","25000","0.0",250,"0.4","5,000.00",NA,NA,NA,"30000","0.0",300,"0.3","6,000.00",NA,NA,NA,"30000","0.0",300,"0.3","6,000.00",NA,NA,NA,"30000","0.0",300,"0.3","6,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"25000","0.0",250,"0.4","5,000.00",NA,NA,NA,"draftkings","30000","0.0",300,NA,"6,000.00",2025-12-28
"MVP","5110","Anthony","Edwards","Anthony Edwards","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=9","/betting/nba/player/anthony-edwards-odds-5110","50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"30000","0.0",300,"0.3","6,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"draftkings","50000","0.0",500,NA,"10,000.00",2025-12-28
"MVP","4166","Donovan","Mitchell","Donovan Mitchell","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=9","/betting/nba/player/donovan-mitchell-odds-4166","50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"25000","0.0",250,"0.4","5,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"20000","0.0",200,"0.5","4,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"draftkings","50000","0.0",500,NA,"10,000.00",2025-12-28
