"future","playerID","firstName","lastName","name","team","logo","playerURL","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"MVP","4387","Shai","Gilgeous-Alexander","Shai Gilgeous-Alexander","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/shai-gilgeous-alexander-odds-4387","-500","0.0",0.2,"77.2","4.00",NA,NA,NA,"-400","0.0",0.25,"70.1","5.00",NA,NA,NA,"-400","0.0",0.25,"74.2","5.00",NA,NA,NA,"-450","0.0",0.222222222222222,"77.6","4.44",NA,NA,NA,"-475","0.0",0.210526315789474,"70.4","4.21",NA,NA,NA,"-425","0.0",0.235294117647059,"76.6","4.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","-400","0.0",0.25,NA,"5.00",2026-01-09
"MVP","4396","Luka","Doncic","Luka Doncic","LAL","https://content.rotowire.com/images/teamlogo/basketball/100LAL.png?v=10","/betting/nba/player/luka-doncic-odds-4396","700","0.0",7,"11.6","140.00",NA,NA,NA,"450","0.0",4.5,"15.9","90.00",NA,NA,NA,"500","0.0",5,"15.5","100.00",NA,NA,NA,"750","0.0",7.5,"11.2","150.00",NA,NA,NA,"550","0.0",5.5,"13.1","110.00",NA,NA,NA,"700","0.0",7,"11.8","140.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","750","0.0",7.5,NA,"150.00",2026-01-09
"MVP","3612","Nikola","Jokic","Nikola Jokic","DEN","https://content.rotowire.com/images/teamlogo/basketball/100DEN.png?v=10","/betting/nba/player/nikola-jokic-odds-3612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1400","0.0",14,"5.7","280.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","1400","0.0",14,NA,"280.00",2026-01-09
"MVP","5336","Cade","Cunningham","Cade Cunningham","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/cade-cunningham-odds-5336","2000","0.0",20,"4.4","400.00",NA,NA,NA,"1200","0.0",12,"6.7","240.00",NA,NA,NA,"2800","0.0",28,"3.2","560.00",NA,NA,NA,"1800","0.0",18,"5.0","360.00",NA,NA,NA,"2000","0.0",20,"4.1","400.00",NA,NA,NA,"2000","0.0",20,"4.5","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2800","0.0",28,NA,"560.00",2026-01-09
"MVP","3894","Jaylen","Brown","Jaylen Brown","BOS","https://content.rotowire.com/images/teamlogo/basketball/100BOS.png?v=10","/betting/nba/player/jaylen-brown-odds-3894","4000","0.0",40,"2.3","800.00",NA,NA,NA,"3000","0.0",30,"2.8","600.00",NA,NA,NA,"3500","0.0",35,"2.6","700.00",NA,NA,NA,"4000","0.0",40,"2.3","800.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,"4000","0.0",40,"2.3","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","4000","0.0",40,NA,"800.00",2026-01-09
"MVP","4405","Jalen","Brunson","Jalen Brunson","NYK","https://content.rotowire.com/images/teamlogo/basketball/100NYK.png?v=10","/betting/nba/player/jalen-brunson-odds-4405","4000","0.0",40,"2.3","800.00",NA,NA,NA,"7500","0.0",75,"1.2","1,500.00",NA,NA,NA,"6000","0.0",60,"1.5","1,200.00",NA,NA,NA,"7500","0.0",75,"1.2","1,500.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,"5000","0.0",50,"1.9","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","7500","0.0",75,NA,"1,500.00",2026-01-09
"MVP","5110","Anthony","Edwards","Anthony Edwards","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/anthony-edwards-odds-5110","15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"8000","0.0",80,"1.1","1,600.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"8000","0.0",80,"1.2","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","15000","0.0",150,NA,"3,000.00",2026-01-09
"MVP","5158","Tyrese","Maxey","Tyrese Maxey","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=10","/betting/nba/player/tyrese-maxey-odds-5158","15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"7500","0.0",75,"1.2","1,500.00",NA,NA,NA,"7000","0.0",70,"1.3","1,400.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"8000","0.0",80,"1.2","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","15000","0.0",150,NA,"3,000.00",2026-01-09
"MVP","5329","Jalen","Johnson","Jalen Johnson","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=10","/betting/nba/player/jalen-johnson-odds-5329",NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","50000","0.0",500,NA,"10,000.00",2026-01-09
"MVP","4166","Donovan","Mitchell","Donovan Mitchell","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=10","/betting/nba/player/donovan-mitchell-odds-4166","25000","0.0",250,"0.4","5,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"20000","0.0",200,"0.5","4,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","50000","0.0",500,NA,"10,000.00",2026-01-09
